RELATÓRIO DE NOTAS POR COMPETÊNCIA - Ações interprofissionais realizadas pela eMulti na APS
Equipes: eMulti

============================================================
COMPETÊNCIA: ABR/25
============================================================

TOP 5 - MAIORES NOTAS
----------------------------------------
  EMULTI PRISMA (INE: 0000469467): 42.55
  EMULTI CALIANDRA (INE: 0001668307): 34.51
  EMULTI RUBI (INE: 0002303418): 29.35
  EMULTI AROEIRA (INE: 0001668293): 14.41
  EMULTI IPE AMARELO (INE: 0002068877): 13.64

TOP 5 - MENORES NOTAS
----------------------------------------
  EMULTI ESTRATEGICA 1 (INE: 0002352281): 3.85
  EMULTI JACARANDA (INE: 0001668315): 7.94
  EMULTI PALIPALAN (INE: 0002315300): 9.38
  EMULTI IPE AMARELO (INE: 0002068877): 13.64
  EMULTI AROEIRA (INE: 0001668293): 14.41


============================================================
COMPETÊNCIA: AGO/25
============================================================

TOP 5 - MAIORES NOTAS
----------------------------------------
  EMULTI CALIANDRA (INE: 0001668307): 48.84
  EMULTI ESTRATEGICA 1 (INE: 0002352281): 41.86
  EMULTI PRISMA (INE: 0000469467): 28.81
  EMULTI PALIPALAN (INE: 0002315300): 22.41
  EMULTI JACARANDA (INE: 0001668315): 21.38

TOP 5 - MENORES NOTAS
----------------------------------------
  EMULTI IPE AMARELO (INE: 0002068877): 14.97
  EMULTI AROEIRA (INE: 0001668293): 16.06
  EMULTI RUBI (INE: 0002303418): 21.21
  EMULTI JACARANDA (INE: 0001668315): 21.38
  EMULTI PALIPALAN (INE: 0002315300): 22.41


============================================================
COMPETÊNCIA: DEZ/25
============================================================

TOP 5 - MAIORES NOTAS
----------------------------------------
  EMULTI CALIANDRA (INE: 0001668307): 45.69
  EMULTI RUBI (INE: 0002303418): 32.99
  EMULTI ESTRATEGICA 1 (INE: 0002352281): 32.14
  EMULTI JACARANDA (INE: 0001668315): 25.44
  EMULTI PALIPALAN (INE: 0002315300): 14.81

TOP 5 - MENORES NOTAS
----------------------------------------
  EMULTI PRISMA (INE: 0000469467): 5.36
  EMULTI IPE AMARELO (INE: 0002068877): 9.30
  EMULTI AROEIRA (INE: 0001668293): 11.49
  EMULTI PALIPALAN (INE: 0002315300): 14.81
  EMULTI JACARANDA (INE: 0001668315): 25.44


